location,date,hour,wind speed
  225,20190101,    1,   90
  225,20190101,    2,   90
  225,20190101,    3,  100
  225,20190101,    4,  110
  225,20190101,    5,  100
  225,20190101,    6,  100
  225,20190101,    7,  100
  225,20190101,    8,  100
  225,20190101,    9,   90
  225,20190101,   10,   80
  225,20190101,   11,   80
  225,20190101,   12,   90
  225,20190101,   13,  100
  225,20190101,   14,  100
  225,20190101,   15,  120
  225,20190101,   16,  130
  225,20190101,   17,  130
  225,20190101,   18,  140
  225,20190101,   19,  150
  225,20190101,   20,  140
  225,20190101,   21,  140
  225,20190101,   22,  140
  225,20190101,   23,  130
  225,20190101,   24,  130
  225,20190102,    1,  130
  225,20190102,    2,  130
  225,20190102,    3,  130
  225,20190102,    4,  130
  225,20190102,    5,  130
  225,20190102,    6,  120
  225,20190102,    7,  120
  225,20190102,    8,  120
  225,20190102,    9,  110
  225,20190102,   10,  110
  225,20190102,   11,  100
  225,20190102,   12,  100
  225,20190102,   13,   80
  225,20190102,   14,   90
  225,20190102,   15,   90
  225,20190102,   16,   70
  225,20190102,   17,   70
  225,20190102,   18,   80
  225,20190102,   19,   40
  225,20190102,   20,   50
  225,20190102,   21,   50
  225,20190102,   22,   70
  225,20190102,   23,   60
  225,20190102,   24,   70
  225,20190103,    1,   60
  225,20190103,    2,   70
  225,20190103,    3,   60
  225,20190103,    4,   60
  225,20190103,    5,   60
  225,20190103,    6,   50
  225,20190103,    7,   60
  225,20190103,    8,   70
  225,20190103,    9,   40
  225,20190103,   10,   60
  225,20190103,   11,   40
  225,20190103,   12,   50
  225,20190103,   13,   50
  225,20190103,   14,   60
  225,20190103,   15,   50
  225,20190103,   16,   60
  225,20190103,   17,   60
  225,20190103,   18,   60
  225,20190103,   19,   30
  225,20190103,   20,   60
  225,20190103,   21,   70
  225,20190103,   22,   50
  225,20190103,   23,   50
  225,20190103,   24,   40
  225,20190104,    1,   40
  225,20190104,    2,   60
  225,20190104,    3,   80
  225,20190104,    4,   80
  225,20190104,    5,   80
  225,20190104,    6,   90
  225,20190104,    7,   90
  225,20190104,    8,   90
  225,20190104,    9,   90
  225,20190104,   10,   90
  225,20190104,   11,   90
  225,20190104,   12,  100
  225,20190104,   13,  100
  225,20190104,   14,  100
  225,20190104,   15,  100
  225,20190104,   16,   90
  225,20190104,   17,   90
  225,20190104,   18,   90
  225,20190104,   19,   80
  225,20190104,   20,   80
  225,20190104,   21,   80
  225,20190104,   22,   80
  225,20190104,   23,   80
  225,20190104,   24,   80
  225,20190105,    1,   90
  225,20190105,    2,  100
  225,20190105,    3,  110
  225,20190105,    4,  110
  225,20190105,    5,  110
  225,20190105,    6,  110
  225,20190105,    7,  110
  225,20190105,    8,  110
  225,20190105,    9,  110
  225,20190105,   10,  110
  225,20190105,   11,  110
  225,20190105,   12,  100
  225,20190105,   13,   90
  225,20190105,   14,   90
  225,20190105,   15,   90
  225,20190105,   16,   90
  225,20190105,   17,   90
  225,20190105,   18,   90
  225,20190105,   19,   90
  225,20190105,   20,   90
  225,20190105,   21,   90
  225,20190105,   22,   90
  225,20190105,   23,   90
  225,20190105,   24,   90
  225,20190106,    1,   90
  225,20190106,    2,   70
  225,20190106,    3,   70
  225,20190106,    4,   80
  225,20190106,    5,   70
  225,20190106,    6,   80
  225,20190106,    7,   80
  225,20190106,    8,   60
  225,20190106,    9,   70
  225,20190106,   10,   70
  225,20190106,   11,   70
  225,20190106,   12,   70
  225,20190106,   13,   40
  225,20190106,   14,   40
  225,20190106,   15,   30
  225,20190106,   16,   30
  225,20190106,   17,   20
  225,20190106,   18,   20
  225,20190106,   19,   20
  225,20190106,   20,   20
  225,20190106,   21,   20
  225,20190106,   22,   20
  225,20190106,   23,   30
  225,20190106,   24,   30
  225,20190107,    1,   20
  225,20190107,    2,   40
  225,20190107,    3,   40
  225,20190107,    4,   40
  225,20190107,    5,   50
  225,20190107,    6,   60
  225,20190107,    7,   50
  225,20190107,    8,   60
  225,20190107,    9,   60
  225,20190107,   10,   60
  225,20190107,   11,   60
  225,20190107,   12,   80
  225,20190107,   13,   80
  225,20190107,   14,  100
  225,20190107,   15,  110
  225,20190107,   16,  120
  225,20190107,   17,  130
  225,20190107,   18,  120
  225,20190107,   19,  130
  225,20190107,   20,  130
  225,20190107,   21,  130
  225,20190107,   22,  140
  225,20190107,   23,  140
  225,20190107,   24,  150
  225,20190108,    1,  140
  225,20190108,    2,  140
  225,20190108,    3,  140
  225,20190108,    4,  150
  225,20190108,    5,  160
  225,20190108,    6,  150
  225,20190108,    7,  170
  225,20190108,    8,  180
  225,20190108,    9,  170
  225,20190108,   10,  170
  225,20190108,   11,  170
  225,20190108,   12,  170
  225,20190108,   13,  170
  225,20190108,   14,  170
  225,20190108,   15,  160
  225,20190108,   16,  150
  225,20190108,   17,  150
  225,20190108,   18,  160
  225,20190108,   19,  160
  225,20190108,   20,  150
  225,20190108,   21,  160
  225,20190108,   22,  150
  225,20190108,   23,  140
  225,20190108,   24,  140
  225,20190109,    1,  120
  225,20190109,    2,  130
  225,20190109,    3,  130
  225,20190109,    4,  130
  225,20190109,    5,  130
  225,20190109,    6,  130
  225,20190109,    7,  130
  225,20190109,    8,  110
  225,20190109,    9,  110
  225,20190109,   10,  120
  225,20190109,   11,  110
  225,20190109,   12,  120
  225,20190109,   13,  120
  225,20190109,   14,  120
  225,20190109,   15,  120
  225,20190109,   16,  110
  225,20190109,   17,  100
  225,20190109,   18,   90
  225,20190109,   19,   90
  225,20190109,   20,   80
  225,20190109,   21,   60
  225,20190109,   22,   50
  225,20190109,   23,   60
  225,20190109,   24,   60
  225,20190110,    1,   50
  225,20190110,    2,   40
  225,20190110,    3,   50
  225,20190110,    4,   40
  225,20190110,    5,   30
  225,20190110,    6,   20
  225,20190110,    7,   10
  225,20190110,    8,   20
  225,20190110,    9,   40
  225,20190110,   10,   20
  225,20190110,   11,   20
  225,20190110,   12,   20
  225,20190110,   13,   30
  225,20190110,   14,   50
  225,20190110,   15,   50
  225,20190110,   16,   50
  225,20190110,   17,   50
  225,20190110,   18,   40
  225,20190110,   19,   30
  225,20190110,   20,   40
  225,20190110,   21,   50
  225,20190110,   22,   70
  225,20190110,   23,   80
  225,20190110,   24,   80
  225,20190111,    1,   60
  225,20190111,    2,   50
  225,20190111,    3,   50
  225,20190111,    4,   50
  225,20190111,    5,   50
  225,20190111,    6,   50
  225,20190111,    7,   70
  225,20190111,    8,   70
  225,20190111,    9,   70
  225,20190111,   10,   80
  225,20190111,   11,   80
  225,20190111,   12,   90
  225,20190111,   13,   90
  225,20190111,   14,   90
  225,20190111,   15,   90
  225,20190111,   16,   90
  225,20190111,   17,  100
  225,20190111,   18,  100
  225,20190111,   19,   80
  225,20190111,   20,   80
  225,20190111,   21,   90
  225,20190111,   22,   80
  225,20190111,   23,   80
  225,20190111,   24,   90
  225,20190112,    1,   90
  225,20190112,    2,   90
  225,20190112,    3,   90
  225,20190112,    4,   80
  225,20190112,    5,  100
  225,20190112,    6,  100
  225,20190112,    7,  110
  225,20190112,    8,  110
  225,20190112,    9,  110
  225,20190112,   10,  120
  225,20190112,   11,  130
  225,20190112,   12,  120
  225,20190112,   13,  120
  225,20190112,   14,  110
  225,20190112,   15,  120
  225,20190112,   16,  110
  225,20190112,   17,  110
  225,20190112,   18,  110
  225,20190112,   19,  100
  225,20190112,   20,  110
  225,20190112,   21,  100
  225,20190112,   22,  100
  225,20190112,   23,   90
  225,20190112,   24,   90
  225,20190113,    1,   70
  225,20190113,    2,   70
  225,20190113,    3,   80
  225,20190113,    4,   90
  225,20190113,    5,  110
  225,20190113,    6,  110
  225,20190113,    7,  120
  225,20190113,    8,  120
  225,20190113,    9,  120
  225,20190113,   10,  130
  225,20190113,   11,  130
  225,20190113,   12,  130
  225,20190113,   13,  130
  225,20190113,   14,  150
  225,20190113,   15,  160
  225,20190113,   16,  160
  225,20190113,   17,  150
  225,20190113,   18,  140
  225,20190113,   19,  130
  225,20190113,   20,  130
  225,20190113,   21,  130
  225,20190113,   22,  130
  225,20190113,   23,  130
  225,20190113,   24,  140
  225,20190114,    1,  140
  225,20190114,    2,  110
